,MONTHYEAR,HIGHTEMP,HUMIDITY
0,199201,65,100
1,199202,65,100
2,199203,65,100
3,199204,65,100
4,199205,65,100
5,199206,65,100
6,199207,65,100
7,199208,65,100
8,199209,65,100
9,199210,65,100
10,199211,65,100
11,199212,65,100
12,199301,65,100
13,199302,65,100
14,199303,65,100
15,199304,65,100
16,199305,65,100
17,199306,65,100
18,199307,65,100
19,199308,65,100
20,199309,65,100
21,199310,65,100
22,199311,65,100
23,199312,65,100
24,199401,65,100
25,199402,65,100
26,199403,65,100
27,199404,65,100
28,199405,65,100
29,199406,65,100
30,199407,65,100
31,199408,65,100
32,199409,65,100
33,199410,65,100
34,199411,65,100
35,199412,65,100
36,199501,65,100
37,199502,65,100
38,199503,65,100
39,199504,65,100
40,199505,65,100
41,199506,65,100
42,199507,65,100
43,199508,65,100
44,199509,65,100
45,199510,65,100
46,199511,65,100
47,199512,65,100
48,199601,65,100
49,199602,65,100
50,199603,65,100
51,199604,65,100
52,199605,65,100
53,199606,65,100
54,199607,65,100
55,199608,65,100
56,199609,65,100
57,199610,65,100
58,199611,65,100
59,199612,65,100
60,199701,65,100
61,199702,65,100
62,199703,65,100
63,199704,65,100
64,199705,65,100
65,199706,65,100
66,199707,65,100
67,199708,65,100
68,199709,65,100
69,199710,65,100
70,199711,65,100
71,199712,65,100
72,199801,65,100
73,199802,65,100
74,199803,65,100
75,199804,65,100
76,199805,65,100
77,199806,65,100
78,199807,65,100
79,199808,65,100
80,199809,65,100
81,199810,65,100
82,199811,65,100
83,199812,65,100
84,199901,65,100
85,199902,65,100
86,199903,65,100
87,199904,65,100
88,199905,65,100
89,199906,65,100
90,199907,65,100
91,199908,65,100
92,199909,65,100
93,199910,65,100
94,199911,65,100
95,199912,65,100
96,200001,65,100
97,200002,65,100
98,200003,65,100
99,200004,65,100
100,200005,65,100
101,200006,65,100
102,200007,65,100
103,200008,65,100
104,200009,65,100
105,200010,65,100
106,200011,65,100
107,200012,65,100
108,200101,65,100
109,200102,65,100
110,200103,65,100
111,200104,65,100
112,200105,65,100
113,200106,65,100
114,200107,65,100
115,200108,65,100
116,200109,65,100
117,200110,65,100
118,200111,65,100
119,200112,65,100
120,200201,65,100
121,200202,65,100
122,200203,65,100
123,200204,65,100
124,200205,65,100
125,200206,65,100
126,200207,65,100
127,200208,65,100
128,200209,65,100
129,200210,65,100
130,200211,65,100
131,200212,65,100
132,200301,65,100
133,200302,65,100
134,200303,65,100
135,200304,65,100
136,200305,65,100
137,200306,65,100
138,200307,65,100
139,200308,65,100
140,200309,65,100
141,200310,65,100
142,200311,65,100
143,200312,65,100
144,200401,65,100
145,200402,65,100
146,200403,65,100
147,200404,65,100
148,200405,65,100
149,200406,65,100
150,200407,65,100
151,200408,65,100
152,200409,65,100
153,200410,65,100
154,200411,65,100
155,200412,65,100
156,200501,65,100
157,200502,65,100
158,200503,65,100
159,200504,65,100
160,200505,65,100
161,200506,65,100
162,200507,65,100
163,200508,65,100
164,200509,65,100
165,200510,65,100
166,200511,65,100
167,200512,65,100
168,200601,65,100
169,200602,65,100
170,200603,65,100
171,200604,65,100
172,200605,65,100
173,200606,65,100
174,200607,65,100
175,200608,65,100
176,200609,65,100
177,200610,65,100
178,200611,65,100
179,200612,65,100
180,200701,65,100
181,200702,65,100
182,200703,65,100
183,200704,65,100
184,200705,65,100
185,200706,65,100
186,200707,65,100
187,200708,65,100
188,200709,65,100
189,200710,65,100
190,200711,65,100
191,200712,65,100
192,200801,65,100
193,200802,65,100
194,200803,65,100
195,200804,65,100
196,200805,65,100
197,200806,65,100
198,200807,65,100
199,200808,65,100
200,200809,65,100
201,200810,65,100
202,200811,65,100
203,200812,65,100
204,200901,65,100
205,200902,65,100
206,200903,65,100
207,200904,65,100
208,200905,65,100
209,200906,65,100
210,200907,65,100
211,200908,65,100
212,200909,95,90%
213,200910,81,100
214,200911,81,96%
215,200912,67,100
216,201001,62,100
217,201002,68,100
218,201003,81,97%
219,201004,79,94%
220,201005,83,93%
221,201006,91,88%
222,201007,88,90%
223,201008,10,90%
224,201009,99,90%
225,201010,92,96%
226,201011,84,100
227,201012,66,100
228,201101,60,100
229,201102,57,100
230,201103,64,100
231,201104,73,97%
232,201105,89,93%
233,201106,95,100
234,201107,93,94%
235,201108,92,100
236,201109,95,96%
237,201110,86,100
238,201111,78,100
239,201112,71,100
240,201201,67,100
241,201202,76,100
242,201203,74,100
243,201204,90,100
244,201205,89,93%
245,201206,97,90%
246,201207,91,94%
247,201208,90,97%
248,201209,89,100
249,201210,95,100
250,201211,83,100
251,201212,68,100
252,201301,66,100
253,201302,72,100
254,201303,78,100
255,201304,87,93%
256,201305,91,90%
257,201306,95,93%
258,201307,91,93%
259,201308,90,94%
260,201309,94,97%
261,201310,85,100
262,201311,77,100
263,201312,70,100
264,201401,75,100
265,201402,73,100
266,201403,81,100
267,201404,91,97%
268,201405,93,94%
269,201406,91,93%
270,201407,94,93%
271,201408,85,96%
272,201409,88,100
273,201410,90,100
274,201411,76,100
275,201412,71,100
276,201501,71,100
277,201502,77,100
278,201503,88,94%
279,201504,87,100
280,201505,83,100
281,201506,92,97%
282,201507,93,90%
283,201508,97,94%
284,201509,96,93%
285,201510,92,100
286,201511,72,100
287,201512,71,97%
